"Num_equipement","Description","Date de detection de l'anomalie","Statut","Priorité","Description equipement","Section proprietaire"
"6b242dc0-14da-4fd3-a3d6-9b7038366f9f","clapet du circuit de ramoange Réchauffeur d'air aprés la soupape 1430HCB10AA201 non étanche","2019-01-01 10:09:10","Terminé","1","Soupape","34MC"
"261feb04-e1cf-4973-bf34-79ea5ad4c809","VIBRATION PALIER VENTILATEUR TIRAGE B COTE LIBRE","2019-01-01 14:09:10","Terminé","2","Ventilateur de tirage B","34MC"
"122478f8-da0d-4b34-8020-e96b92292f72","Remise en état calorifuge vanne pompe de circulation","2019-01-02 14:55:00","Terminé","2","Vanne refoulement pompe circulation chaudière","34MD"
"13d3d192-6026-4100-bd8a-92b3668bf5bb","Remise en état calorifuge des vannes","2019-01-02 14:57:00","Terminé","2","SERVOMOTEUR VANNE DE PURGE VAPEUR","34MD"
"94a7ec69-3ba2-4a23-9937-37e8ac8c2a54","débouchage trop plein  décrasseur .","2019-01-03 09:44:00","Terminé","2","DECRASSEUR","34MC"
"bb180499-c728-496e-ae94-d918f03c7e5b","FUITE IMPORTANTE DE VAPEUR PAR TRESSE RAMONEUR IK 14","2019-01-03 09:45:00","Terminé","2","RAMONEUR LONG RETRACTABLE N°14 TYPE IKPOUR LES ÉCH","34MC"
"f2032488-ed9c-458f-a391-3381d023211d","soupape non-étanche DU ramoneur IK 31","2019-01-03 09:46:00","Terminé","2","SOUPAPE DE RAMONEUR LONG RETRACTABLE N°31 TYPE IK","34MC"
"5c7b6009-6afd-4804-8923-8b9360070dea","fuite de vapeur à localiser au collecteur des ramoneurs IK32/34/36","2019-01-03 09:49:00","Terminé","2","RAMONEUR LONG RETRACTABLE N°34 TYPE IK POUR LES ÉC","34MD"
"94a7ec69-3ba2-4a23-9937-37e8ac8c2a54","mise en place des calorifuges autour du décrasseur.","2019-01-03 09:53:00","Terminé","2","DECRASSEUR","34MD"
"d56beceb-eb7c-4340-91d1-cf48644ac02d","prévoir Controller la résistance N°3 de la centrifugeuse huile de graissage turbine","2019-01-03 11:35:00","Terminé","2","Système huile turbine","34EL"
"5ba98b1b-f71a-44b9-bea7-f761387e819b","fuite d'huile au niveau du transfo-redresseur 5B .","2019-01-03 11:35:00","Terminé","2","TRANSFORMATEUR REDRESSEUR CHAMP5 FILE B","34EL"
"68a51507-935e-4746-8698-c2158350b069","PRÉVOIR CONTRÔLE DE PRESSION RAMONAGE RÉCHAUFFEUR D AIR","2019-01-04 09:22:00","Terminé","2","AIR HEATER SOOTBLOWER  PESSURE REDUCING STATION","34CT"
"e4dc8167-4343-4d2d-aa44-3948d18abad6","prévoir contrôle mesure de delta P BROYEUR D","2019-01-04 12:46:00","Terminé","2","Transmetteur de Delta Pression Cuve Broyeur D","34CT"
"2aa877d6-9bc4-4491-80b4-2836810ca34c","écart commande position registre air froid","2019-01-04 12:47:00","Terminé","2","REGISTRE AIR FROID BROYEUR D.","34CT"
"94a7ec69-3ba2-4a23-9937-37e8ac8c2a54","apparition fausse alarme décrasseur off","2019-01-07 08:38:00","Terminé","1","DECRASSEUR","34EL"
"2aa877d6-9bc4-4491-80b4-2836810ca34c","prévoir graisser registre d'air froid broyeur d","2019-01-07 14:23:00","Terminé","2","REGISTRE AIR FROID BROYEUR D.","34MC"
"2aa877d6-9bc4-4491-80b4-2836810ca34c","coincement registre air froid le coincement et due aux fuites d'air au distributeur d'air","2019-01-07 14:24:00","Terminé","2","REGISTRE AIR FROID BROYEUR D.","34CT"
"94a7ec69-3ba2-4a23-9937-37e8ac8c2a54","prévoir réglage de la vanne a flotteur.","2019-01-07 14:28:00","Terminé","2","DECRASSEUR","34MC"
"344a302f-5751-43ef-afec-e70e438c4bdc","Confection et installation d'une passerelle de passage secours pour la vanne d'isolement ramonage réchauffeur d'air","2019-01-07 14:41:00","Terminé","2","Systeme ramonage U3","34MD"
"1dc5cbd6-d5a9-4f79-a3f1-c0e72d0628d5","Remplacement vanne de décharge chambre vanne 3 voix des réchauffeurs HP","2019-01-08 10:39:00","Terminé","2","HP HTRS BYP-SERV PILOT VLV","34MD"
"7f4aa695-6444-4c73-9cb0-ce853058f73c","Entretien des Ecrans et claviers Stations Operateurs Unité 3","2019-01-09 09:12:32","Terminé","","Système de Supervision et Commande Unité 3","34CT"
"7a93a280-f450-4b40-be99-04a87fc8b5a3","Remise en état calorifuge","2019-01-09 11:35:00","Terminé","2","CORNER 1 ATOMAZING STEAM VENT","34MD"
"8ad351b8-3e67-4834-abbf-8c76729321cc","prévoir appoint d'huile pompe alimentaire N°10","2019-01-14 16:04:00","Terminé","2","Pompe alimentaire  principale  N° 10","34MG"
"22c90841-ef49-4e00-b4d3-d7ddc8ba4b86","Encrassement filtre d'aspiration de la pompe fioul 10","2019-01-14 16:08:00","Terminé","2","POMPE FUEL  PRINCIPALE  N°1","34MC"
"7fde43d5-680d-4ee7-a02d-8b8ad4ddbf31","fuite vapeur par raccord au vanne régulatrice ramonage chaudière 3","2019-01-14 16:09:00","Terminé","2","BOILER  SOOTBLOWER  PESSURE REDUCING STATION","34MC"
"051a37ea-1c2c-4142-81fa-4a55be878191","fuite importante CP par bride registre  sortie broyeur C","2019-01-14 16:14:00","Terminé","2","PULVERIZER B3 DISCHARGE","34MC"
"3f3671da-9a23-429e-b170-aea656ad4029","fuite importante CP par bride registre sortie broyeur C","2019-01-14 16:15:00","Terminé","2","PULVERIZER C3 DISCHARGE","34MC"
"a0a3f719-fe8c-49fe-9636-32d37518c665","fuite importante CP par bride aval registre broyeur C entrée chaudière  ( ANGLE 2)","2019-01-14 16:16:00","Terminé","2","Vanne isolement CP Broyeur C / foyer angle 2","34MC"
"6606fdf7-a379-4e69-a6e3-5e6db6f344b6","prévoir nettoyer le filtre d'huile  station d'huile de graissage broyeur C (30HFV30AT001B)","2019-01-14 16:17:00","Terminé","2","PULV C LUBE OIL HEATER","34MC"
"2739ee87-413c-4549-8acc-97923daabdcf","prévoir le nettoyage d'huile au-dessus de la cuve","2019-01-15 08:42:00","Terminé","1","CUVE À HUILE TURBINE","34MM"
"a13228e5-2a19-4257-9dbb-b05c84f2abf4","Découpage et soudage des boulons de fixation du transformateur redresseur champ 5 fil A","2019-01-15 13:54:00","Terminé","2","RESISTANCE ISOLATEUR SUPPORT CHAMP 5 FILE A","34MD"
"5dff1caa-b16b-48a8-b844-fcdea23039a1","le changement du mode STOP au mode à distance ne fonctionne pas","2019-01-16 09:34:00","Terminé","2","COAL FEEDER B","34CT"
"74151537-f5b6-4018-9b2f-5f076c707666","Prévoir contrôle  slave CPU nœud 35.","2019-01-16 11:25:00","Terminé","1","Armoire de Contrôle Automate Node 35","34CT"
"74151537-f5b6-4018-9b2f-5f076c707666","nœud 35 en defaut  ( Voir OT n°: OT938598 )","2019-01-16 11:26:00","Terminé","2","Armoire de Contrôle Automate Node 35","34CT"
"c683b074-7d02-4594-a671-b6a6d5798785","PREVOIR LE NETTOYAGE  FILTRE MOTEUR VENTILATEUR SOUFFLAGE B ( Voir OT n°: OT938600 )","2019-01-16 11:29:00","Terminé","2","Mesure de Température Enroulement 5 Moteur du Ventilateur d'air Secondaire B","34EL"
